sample_id,cdr_label,cdr_description,language,script,topic,transcript,content_to_synthesize,target_duration_sec,chinese_char_count,speaker_id,speaker_gender,speaker_age_group,speaker_prompt_audio_filename,speaker_prompt_text_transcription,output_audio_filename,hesitation_count,repetition_count,self_correction_count,word_finding_difficulty_count,topic_drift_score,temporal_disorganization_score,sentence_fragment_ratio,information_density_score,coherence_score,target_pause_density,target_speech_rate,biomarker_notes,breezyvoice_ready,quality_warnings
tw_md_cdr0_0099,0,normal healthy speech,Taiwanese Mandarin,Traditional Chinese,回憶上週發生的事情,今天早上我大概七點起床，先刷牙洗臉，然後去早餐店買蛋餅和豆漿。吃完以後我搭公車去菜市場，買了青菜、豆腐和一點水果，回家後就開始準備午餐。,今天早上我大概七點起床，先刷牙洗臉，然後去早餐店買蛋餅和豆漿。吃完以後我搭公車去菜市場，買了青菜、豆腐和一點水果，回家後就開始準備午餐。,16,61,speaker_f_01,female,adult,speaker_f_01.wav,今天天氣不錯，我早上去市場買了一些青菜和水果。,tw_md_cdr0_0099.wav,0,1,0,0,0.08,0.02,0.08,0.89,0.92,very_low,normal,Dry-run example only. Replace with Qwen output for final dataset.,yes,
tw_md_cdr1_0179,1,mild dementia style speech,Taiwanese Mandarin,Traditional Chinese,去菜市場買菜,昨天我好像有去市場，嗯……應該是早上去的。我本來要買青菜，然後又想說要買豆腐，可是走到那邊我忘記要買什麼。後來我又回去問家人，才想起來是要買晚餐的東西。,昨天我好像有去市場，嗯……應該是早上去的。我本來要買青菜，然後又想說要買豆腐，可是走到那邊我忘記要買什麼。後來我又回去問家人，才想起來是要買晚餐的東西。,19,67,speaker_m_01,male,adult,speaker_m_01.wav,我今天搭公車去附近的診所，路上人有一點多。,tw_md_cdr1_0179.wav,6,3,1,4,0.37,0.26,0.24,0.53,0.68,medium,slow,Dry-run example only. Replace with Qwen output for final dataset.,yes,
tw_md_cdr0_0077,0,normal healthy speech,Taiwanese Mandarin,Traditional Chinese,描述一次出門經驗,今天早上我大概七點起床，先刷牙洗臉，然後去早餐店買蛋餅和豆漿。吃完以後我搭公車去菜市場，買了青菜、豆腐和一點水果，回家後就開始準備午餐。,今天早上我大概七點起床，先刷牙洗臉，然後去早餐店買蛋餅和豆漿。吃完以後我搭公車去菜市場，買了青菜、豆腐和一點水果，回家後就開始準備午餐。,16,61,speaker_f_02,female,older_adult,speaker_f_02.wav,吃完早餐以後，我整理了一下客廳，然後準備出門買東西。,tw_md_cdr0_0077.wav,1,1,1,0,0.05,0.01,0.02,0.9,0.95,very_low,normal,Dry-run example only. Replace with Qwen output for final dataset.,yes,
tw_md_cdr0_5_0159,0.5,very mild cognitive impairment style speech,Taiwanese Mandarin,Traditional Chinese,和家人一起吃飯,今天早上我起來以後，嗯……先去刷牙，還是先去客廳，我想一下。後來我去早餐店買東西，買了蛋餅，還有那個，豆漿。回家的時候我本來要去市場，走到門口才想起來袋子忘了拿。,今天早上我起來以後，嗯……先去刷牙，還是先去客廳，我想一下。後來我去早餐店買東西，買了蛋餅，還有那個，豆漿。回家的時候我本來要去市場，走到門口才想起來袋子忘了拿。,20,69,speaker_m_02,male,older_adult,speaker_m_02.wav,今天下午我在家裡看電視，晚一點要去便利商店買牛奶。,tw_md_cdr0_5_0159.wav,2,1,2,2,0.15,0.2,0.11,0.64,0.68,low,slightly_slow,Dry-run example only. Replace with Qwen output for final dataset.,yes,
tw_md_cdr1_0046,1,mild dementia style speech,Taiwanese Mandarin,Traditional Chinese,談論家裡附近的環境,昨天我好像有去市場，嗯……應該是早上去的。我本來要買青菜，然後又想說要買豆腐，可是走到那邊我忘記要買什麼。後來我又回去問家人，才想起來是要買晚餐的東西。,昨天我好像有去市場，嗯……應該是早上去的。我本來要買青菜，然後又想說要買豆腐，可是走到那邊我忘記要買什麼。後來我又回去問家人，才想起來是要買晚餐的東西。,19,67,speaker_f_01,female,adult,speaker_f_01.wav,今天天氣不錯，我早上去市場買了一些青菜和水果。,tw_md_cdr1_0046.wav,7,3,3,3,0.36,0.43,0.32,0.55,0.63,medium,slow,Dry-run example only. Replace with Qwen output for final dataset.,yes,
tw_md_cdr0_5_0185,0.5,very mild cognitive impairment style speech,Taiwanese Mandarin,Traditional Chinese,去菜市場買菜,今天早上我起來以後，嗯……先去刷牙，還是先去客廳，我想一下。後來我去早餐店買東西，買了蛋餅，還有那個，豆漿。回家的時候我本來要去市場，走到門口才想起來袋子忘了拿。,今天早上我起來以後，嗯……先去刷牙，還是先去客廳，我想一下。後來我去早餐店買東西，買了蛋餅，還有那個，豆漿。回家的時候我本來要去市場，走到門口才想起來袋子忘了拿。,20,69,speaker_f_01,female,adult,speaker_f_01.wav,今天天氣不錯，我早上去市場買了一些青菜和水果。,tw_md_cdr0_5_0185.wav,2,2,1,1,0.21,0.24,0.16,0.7,0.84,low,slightly_slow,Dry-run example only. Replace with Qwen output for final dataset.,yes,
tw_md_cdr0_5_0195,0.5,very mild cognitive impairment style speech,Taiwanese Mandarin,Traditional Chinese,昨天做了什麼事情,今天早上我起來以後，嗯……先去刷牙，還是先去客廳，我想一下。後來我去早餐店買東西，買了蛋餅，還有那個，豆漿。回家的時候我本來要去市場，走到門口才想起來袋子忘了拿。,今天早上我起來以後，嗯……先去刷牙，還是先去客廳，我想一下。後來我去早餐店買東西，買了蛋餅，還有那個，豆漿。回家的時候我本來要去市場，走到門口才想起來袋子忘了拿。,20,69,speaker_f_01,female,adult,speaker_f_01.wav,今天天氣不錯，我早上去市場買了一些青菜和水果。,tw_md_cdr0_5_0195.wav,3,1,1,1,0.2,0.18,0.14,0.79,0.66,low,slightly_slow,Dry-run example only. Replace with Qwen output for final dataset.,yes,
tw_md_cdr1_0076,1,mild dementia style speech,Taiwanese Mandarin,Traditional Chinese,和家人一起吃飯,昨天我好像有去市場，嗯……應該是早上去的。我本來要買青菜，然後又想說要買豆腐，可是走到那邊我忘記要買什麼。後來我又回去問家人，才想起來是要買晚餐的東西。,昨天我好像有去市場，嗯……應該是早上去的。我本來要買青菜，然後又想說要買豆腐，可是走到那邊我忘記要買什麼。後來我又回去問家人，才想起來是要買晚餐的東西。,19,67,speaker_m_02,male,older_adult,speaker_m_02.wav,今天下午我在家裡看電視，晚一點要去便利商店買牛奶。,tw_md_cdr1_0076.wav,7,2,3,3,0.3,0.37,0.3,0.45,0.55,medium,slow,Dry-run example only. Replace with Qwen output for final dataset.,yes,
tw_md_cdr0_0003,0,normal healthy speech,Taiwanese Mandarin,Traditional Chinese,和家人一起吃飯,今天早上我大概七點起床，先刷牙洗臉，然後去早餐店買蛋餅和豆漿。吃完以後我搭公車去菜市場，買了青菜、豆腐和一點水果，回家後就開始準備午餐。,今天早上我大概七點起床，先刷牙洗臉，然後去早餐店買蛋餅和豆漿。吃完以後我搭公車去菜市場，買了青菜、豆腐和一點水果，回家後就開始準備午餐。,16,61,speaker_f_01,female,adult,speaker_f_01.wav,今天天氣不錯，我早上去市場買了一些青菜和水果。,tw_md_cdr0_0003.wav,0,1,1,1,0.02,0.1,0.03,0.77,0.82,very_low,normal,Dry-run example only. Replace with Qwen output for final dataset.,yes,
tw_md_cdr2_0095,2,moderate dementia style speech,Taiwanese Mandarin,Traditional Chinese,描述買東西的過程,我早上，嗯……早上有出去，去那個地方，買東西。買菜，還是買飯，我有點忘記。那個袋子，袋子我一直找，後來又在桌上。然後我好像有搭公車，可是又好像沒有，反正就是去那邊。,我早上，嗯……早上有出去，去那個地方，買東西。買菜，還是買飯，我有點忘記。那個袋子，袋子我一直找，後來又在桌上。然後我好像有搭公車，可是又好像沒有，反正就是去那邊。,20,67,speaker_m_02,male,older_adult,speaker_m_02.wav,今天下午我在家裡看電視，晚一點要去便利商店買牛奶。,tw_md_cdr2_0095.wav,10,4,3,7,0.62,0.74,0.41,0.43,0.31,high,very_slow,Dry-run example only. Replace with Qwen output for final dataset.,yes,
tw_md_cdr0_0120,0,normal healthy speech,Taiwanese Mandarin,Traditional Chinese,回憶上週發生的事情,今天早上我大概七點起床，先刷牙洗臉，然後去早餐店買蛋餅和豆漿。吃完以後我搭公車去菜市場，買了青菜、豆腐和一點水果，回家後就開始準備午餐。,今天早上我大概七點起床，先刷牙洗臉，然後去早餐店買蛋餅和豆漿。吃完以後我搭公車去菜市場，買了青菜、豆腐和一點水果，回家後就開始準備午餐。,16,61,speaker_f_01,female,adult,speaker_f_01.wav,今天天氣不錯，我早上去市場買了一些青菜和水果。,tw_md_cdr0_0120.wav,0,1,1,1,0.07,0.09,0.06,1.0,0.86,very_low,normal,Dry-run example only. Replace with Qwen output for final dataset.,yes,
tw_md_cdr0_5_0008,0.5,very mild cognitive impairment style speech,Taiwanese Mandarin,Traditional Chinese,昨天做了什麼事情,今天早上我起來以後，嗯……先去刷牙，還是先去客廳，我想一下。後來我去早餐店買東西，買了蛋餅，還有那個，豆漿。回家的時候我本來要去市場，走到門口才想起來袋子忘了拿。,今天早上我起來以後，嗯……先去刷牙，還是先去客廳，我想一下。後來我去早餐店買東西，買了蛋餅，還有那個，豆漿。回家的時候我本來要去市場，走到門口才想起來袋子忘了拿。,20,69,speaker_m_01,male,adult,speaker_m_01.wav,我今天搭公車去附近的診所，路上人有一點多。,tw_md_cdr0_5_0008.wav,4,1,2,2,0.23,0.13,0.18,0.78,0.8,low,slightly_slow,Dry-run example only. Replace with Qwen output for final dataset.,yes,
tw_md_cdr1_0083,1,mild dementia style speech,Taiwanese Mandarin,Traditional Chinese,早上起床後的日常,昨天我好像有去市場，嗯……應該是早上去的。我本來要買青菜，然後又想說要買豆腐，可是走到那邊我忘記要買什麼。後來我又回去問家人，才想起來是要買晚餐的東西。,昨天我好像有去市場，嗯……應該是早上去的。我本來要買青菜，然後又想說要買豆腐，可是走到那邊我忘記要買什麼。後來我又回去問家人，才想起來是要買晚餐的東西。,19,67,speaker_m_02,male,older_adult,speaker_m_02.wav,今天下午我在家裡看電視，晚一點要去便利商店買牛奶。,tw_md_cdr1_0083.wav,5,2,3,2,0.39,0.34,0.23,0.55,0.64,medium,slow,Dry-run example only. Replace with Qwen output for final dataset.,yes,
tw_md_cdr0_0330,0,normal healthy speech,Taiwanese Mandarin,Traditional Chinese,昨天做了什麼事情,今天早上我大概七點起床，先刷牙洗臉，然後去早餐店買蛋餅和豆漿。吃完以後我搭公車去菜市場，買了青菜、豆腐和一點水果，回家後就開始準備午餐。,今天早上我大概七點起床，先刷牙洗臉，然後去早餐店買蛋餅和豆漿。吃完以後我搭公車去菜市場，買了青菜、豆腐和一點水果，回家後就開始準備午餐。,16,61,speaker_f_01,female,adult,speaker_f_01.wav,今天天氣不錯，我早上去市場買了一些青菜和水果。,tw_md_cdr0_0330.wav,0,0,0,0,0.03,0.09,0.1,0.82,0.95,very_low,normal,Dry-run example only. Replace with Qwen output for final dataset.,yes,
tw_md_cdr0_0268,0,normal healthy speech,Taiwanese Mandarin,Traditional Chinese,去菜市場買菜,今天早上我大概七點起床，先刷牙洗臉，然後去早餐店買蛋餅和豆漿。吃完以後我搭公車去菜市場，買了青菜、豆腐和一點水果，回家後就開始準備午餐。,今天早上我大概七點起床，先刷牙洗臉，然後去早餐店買蛋餅和豆漿。吃完以後我搭公車去菜市場，買了青菜、豆腐和一點水果，回家後就開始準備午餐。,16,61,speaker_m_02,male,older_adult,speaker_m_02.wav,今天下午我在家裡看電視，晚一點要去便利商店買牛奶。,tw_md_cdr0_0268.wav,0,0,1,0,0.02,0.03,0.03,0.95,0.94,very_low,normal,Dry-run example only. Replace with Qwen output for final dataset.,yes,
tw_md_cdr1_0032,1,mild dementia style speech,Taiwanese Mandarin,Traditional Chinese,描述買東西的過程,昨天我好像有去市場，嗯……應該是早上去的。我本來要買青菜，然後又想說要買豆腐，可是走到那邊我忘記要買什麼。後來我又回去問家人，才想起來是要買晚餐的東西。,昨天我好像有去市場，嗯……應該是早上去的。我本來要買青菜，然後又想說要買豆腐，可是走到那邊我忘記要買什麼。後來我又回去問家人，才想起來是要買晚餐的東西。,19,67,speaker_m_01,male,adult,speaker_m_01.wav,我今天搭公車去附近的診所，路上人有一點多。,tw_md_cdr1_0032.wav,4,4,3,4,0.43,0.44,0.26,0.63,0.63,medium,slow,Dry-run example only. Replace with Qwen output for final dataset.,yes,
tw_md_cdr0_0220,0,normal healthy speech,Taiwanese Mandarin,Traditional Chinese,談論家裡附近的環境,今天早上我大概七點起床，先刷牙洗臉，然後去早餐店買蛋餅和豆漿。吃完以後我搭公車去菜市場，買了青菜、豆腐和一點水果，回家後就開始準備午餐。,今天早上我大概七點起床，先刷牙洗臉，然後去早餐店買蛋餅和豆漿。吃完以後我搭公車去菜市場，買了青菜、豆腐和一點水果，回家後就開始準備午餐。,16,61,speaker_m_01,male,adult,speaker_m_01.wav,我今天搭公車去附近的診所，路上人有一點多。,tw_md_cdr0_0220.wav,1,1,0,1,0.03,0.1,0.1,0.82,0.94,very_low,normal,Dry-run example only. Replace with Qwen output for final dataset.,yes,
tw_md_cdr0_5_0109,0.5,very mild cognitive impairment style speech,Taiwanese Mandarin,Traditional Chinese,和家人一起吃飯,今天早上我起來以後，嗯……先去刷牙，還是先去客廳，我想一下。後來我去早餐店買東西，買了蛋餅，還有那個，豆漿。回家的時候我本來要去市場，走到門口才想起來袋子忘了拿。,今天早上我起來以後，嗯……先去刷牙，還是先去客廳，我想一下。後來我去早餐店買東西，買了蛋餅，還有那個，豆漿。回家的時候我本來要去市場，走到門口才想起來袋子忘了拿。,20,69,speaker_m_01,male,adult,speaker_m_01.wav,我今天搭公車去附近的診所，路上人有一點多。,tw_md_cdr0_5_0109.wav,2,2,0,2,0.11,0.2,0.1,0.68,0.7,low,slightly_slow,Dry-run example only. Replace with Qwen output for final dataset.,yes,
tw_md_cdr0_0235,0,normal healthy speech,Taiwanese Mandarin,Traditional Chinese,早上起床後的日常,今天早上我大概七點起床，先刷牙洗臉，然後去早餐店買蛋餅和豆漿。吃完以後我搭公車去菜市場，買了青菜、豆腐和一點水果，回家後就開始準備午餐。,今天早上我大概七點起床，先刷牙洗臉，然後去早餐店買蛋餅和豆漿。吃完以後我搭公車去菜市場，買了青菜、豆腐和一點水果，回家後就開始準備午餐。,16,61,speaker_f_02,female,older_adult,speaker_f_02.wav,吃完早餐以後，我整理了一下客廳，然後準備出門買東西。,tw_md_cdr0_0235.wav,0,1,0,0,0.08,0.1,0.05,0.87,0.94,very_low,normal,Dry-run example only. Replace with Qwen output for final dataset.,yes,
tw_md_cdr2_0075,2,moderate dementia style speech,Taiwanese Mandarin,Traditional Chinese,搭公車或捷運出門,我早上，嗯……早上有出去，去那個地方，買東西。買菜，還是買飯，我有點忘記。那個袋子，袋子我一直找，後來又在桌上。然後我好像有搭公車，可是又好像沒有，反正就是去那邊。,我早上，嗯……早上有出去，去那個地方，買東西。買菜，還是買飯，我有點忘記。那個袋子，袋子我一直找，後來又在桌上。然後我好像有搭公車，可是又好像沒有，反正就是去那邊。,20,67,speaker_m_01,male,adult,speaker_m_01.wav,我今天搭公車去附近的診所，路上人有一點多。,tw_md_cdr2_0075.wav,9,5,3,7,0.64,0.65,0.4,0.48,0.41,high,very_slow,Dry-run example only. Replace with Qwen output for final dataset.,yes,
tw_md_cdr0_5_0030,0.5,very mild cognitive impairment style speech,Taiwanese Mandarin,Traditional Chinese,去菜市場買菜,今天早上我起來以後，嗯……先去刷牙，還是先去客廳，我想一下。後來我去早餐店買東西，買了蛋餅，還有那個，豆漿。回家的時候我本來要去市場，走到門口才想起來袋子忘了拿。,今天早上我起來以後，嗯……先去刷牙，還是先去客廳，我想一下。後來我去早餐店買東西，買了蛋餅，還有那個，豆漿。回家的時候我本來要去市場，走到門口才想起來袋子忘了拿。,20,69,speaker_m_01,male,adult,speaker_m_01.wav,我今天搭公車去附近的診所，路上人有一點多。,tw_md_cdr0_5_0030.wav,2,1,2,1,0.11,0.14,0.12,0.79,0.77,low,slightly_slow,Dry-run example only. Replace with Qwen output for final dataset.,yes,
tw_md_cdr0_5_0140,0.5,very mild cognitive impairment style speech,Taiwanese Mandarin,Traditional Chinese,昨天做了什麼事情,今天早上我起來以後，嗯……先去刷牙，還是先去客廳，我想一下。後來我去早餐店買東西，買了蛋餅，還有那個，豆漿。回家的時候我本來要去市場，走到門口才想起來袋子忘了拿。,今天早上我起來以後，嗯……先去刷牙，還是先去客廳，我想一下。後來我去早餐店買東西，買了蛋餅，還有那個，豆漿。回家的時候我本來要去市場，走到門口才想起來袋子忘了拿。,20,69,speaker_f_02,female,older_adult,speaker_f_02.wav,吃完早餐以後，我整理了一下客廳，然後準備出門買東西。,tw_md_cdr0_5_0140.wav,3,2,2,1,0.22,0.13,0.18,0.78,0.75,low,slightly_slow,Dry-run example only. Replace with Qwen output for final dataset.,yes,
tw_md_cdr0_0214,0,normal healthy speech,Taiwanese Mandarin,Traditional Chinese,整理家裡和洗衣服,今天早上我大概七點起床，先刷牙洗臉，然後去早餐店買蛋餅和豆漿。吃完以後我搭公車去菜市場，買了青菜、豆腐和一點水果，回家後就開始準備午餐。,今天早上我大概七點起床，先刷牙洗臉，然後去早餐店買蛋餅和豆漿。吃完以後我搭公車去菜市場，買了青菜、豆腐和一點水果，回家後就開始準備午餐。,16,61,speaker_f_01,female,adult,speaker_f_01.wav,今天天氣不錯，我早上去市場買了一些青菜和水果。,tw_md_cdr0_0214.wav,1,0,0,0,0.03,0.04,0.08,0.79,0.88,very_low,normal,Dry-run example only. Replace with Qwen output for final dataset.,yes,
tw_md_cdr0_0175,0,normal healthy speech,Taiwanese Mandarin,Traditional Chinese,和朋友聊天,今天早上我大概七點起床，先刷牙洗臉，然後去早餐店買蛋餅和豆漿。吃完以後我搭公車去菜市場，買了青菜、豆腐和一點水果，回家後就開始準備午餐。,今天早上我大概七點起床，先刷牙洗臉，然後去早餐店買蛋餅和豆漿。吃完以後我搭公車去菜市場，買了青菜、豆腐和一點水果，回家後就開始準備午餐。,16,61,speaker_m_01,male,adult,speaker_m_01.wav,我今天搭公車去附近的診所，路上人有一點多。,tw_md_cdr0_0175.wav,0,0,0,1,0.03,0.05,0.07,0.78,0.99,very_low,normal,Dry-run example only. Replace with Qwen output for final dataset.,yes,
tw_md_cdr0_0262,0,normal healthy speech,Taiwanese Mandarin,Traditional Chinese,去菜市場買菜,今天早上我大概七點起床，先刷牙洗臉，然後去早餐店買蛋餅和豆漿。吃完以後我搭公車去菜市場，買了青菜、豆腐和一點水果，回家後就開始準備午餐。,今天早上我大概七點起床，先刷牙洗臉，然後去早餐店買蛋餅和豆漿。吃完以後我搭公車去菜市場，買了青菜、豆腐和一點水果，回家後就開始準備午餐。,16,61,speaker_f_01,female,adult,speaker_f_01.wav,今天天氣不錯，我早上去市場買了一些青菜和水果。,tw_md_cdr0_0262.wav,1,0,1,0,0.04,0.07,0.03,0.77,0.87,very_low,normal,Dry-run example only. Replace with Qwen output for final dataset.,yes,
tw_md_cdr0_0240,0,normal healthy speech,Taiwanese Mandarin,Traditional Chinese,去便利商店或全聯買東西,今天早上我大概七點起床，先刷牙洗臉，然後去早餐店買蛋餅和豆漿。吃完以後我搭公車去菜市場，買了青菜、豆腐和一點水果，回家後就開始準備午餐。,今天早上我大概七點起床，先刷牙洗臉，然後去早餐店買蛋餅和豆漿。吃完以後我搭公車去菜市場，買了青菜、豆腐和一點水果，回家後就開始準備午餐。,16,61,speaker_f_02,female,older_adult,speaker_f_02.wav,吃完早餐以後，我整理了一下客廳，然後準備出門買東西。,tw_md_cdr0_0240.wav,0,1,1,1,0.06,0.1,0.05,0.98,0.96,very_low,normal,Dry-run example only. Replace with Qwen output for final dataset.,yes,
